t_ms,V_mV,n,h,alpha,volL_L,PAO2_mmHg,PaO2_mmHg,gtonic_nS,SaO2_pct
1.91088509e+02,-6.04683037e+01,3.82982113e-04,7.49548122e-01,1.66108209e-04,2.04357795e+00,9.84522211e+01,9.69932001e+01,8.75912996e-02,9.64131245e+01
1.96088509e+02,-6.04650730e+01,3.83291493e-04,7.49658721e-01,1.65298448e-04,2.04336596e+00,9.84376092e+01,9.69742626e+01,8.76666618e-02,9.64114359e+01
2.01088509e+02,-6.04618502e+01,3.83600361e-04,7.49769167e-01,1.64492739e-04,2.04315500e+00,9.84229546e+01,9.69553954e+01,8.77417940e-02,9.64097525e+01
2.06088509e+02,-6.04586352e+01,3.83908734e-04,7.49879460e-01,1.63691060e-04,2.04294506e+00,9.84082584e+01,9.69365970e+01,8.78167023e-02,9.64080742e+01
2.11088509e+02,-6.04554278e+01,3.84216630e-04,7.49989600e-01,1.62893391e-04,2.04273613e+00,9.83935217e+01,9.69178656e+01,8.78913929e-02,9.64064008e+01
2.16088509e+02,-6.04522276e+01,3.84524067e-04,7.50099588e-01,1.62099713e-04,2.04252822e+00,9.83787456e+01,9.68991996e+01,8.79658717e-02,9.64047322e+01
2.21088509e+02,-6.04490346e+01,3.84831063e-04,7.50209424e-01,1.61310006e-04,2.04232133e+00,9.83639311e+01,9.68805975e+01,8.80401445e-02,9.64030682e+01
2.26088509e+02,-6.04458485e+01,3.85137635e-04,7.50319108e-01,1.60524249e-04,2.04211543e+00,9.83490793e+01,9.68620576e+01,8.81142169e-02,9.64014087e+01
2.31088509e+02,-6.04426692e+01,3.85443801e-04,7.50428641e-01,1.59742423e-04,2.04191054e+00,9.83341910e+01,9.68435786e+01,8.81880944e-02,9.63997536e+01
2.36088509e+02,-6.04394964e+01,3.85749577e-04,7.50538023e-01,1.58964508e-04,2.04170664e+00,9.83192673e+01,9.68251589e+01,8.82617824e-02,9.63981028e+01
2.41088509e+02,-6.04363299e+01,3.86054981e-04,7.50647254e-01,1.58190485e-04,2.04150373e+00,9.83043092e+01,9.68067972e+01,8.83352861e-02,9.63964562e+01
2.46088509e+02,-6.04331697e+01,3.86360029e-04,7.50756334e-01,1.57420335e-04,2.04130180e+00,9.82893174e+01,9.67884920e+01,8.84086105e-02,9.63948136e+01
2.51088509e+02,-6.04300154e+01,3.86664736e-04,7.50865265e-01,1.56654037e-04,2.04110086e+00,9.82742929e+01,9.67702420e+01,8.84817607e-02,9.63931749e+01
2.56088509e+02,-6.04268670e+01,3.86969118e-04,7.50974045e-01,1.55891574e-04,2.04090090e+00,9.82592367e+01,9.67520459e+01,8.85547415e-02,9.63915400e+01
2.61088509e+02,-6.04237242e+01,3.87273190e-04,7.51082676e-01,1.55132925e-04,2.04070190e+00,9.82441494e+01,9.67339024e+01,8.86275576e-02,9.63899088e+01
2.66088509e+02,-6.04205870e+01,3.87576967e-04,7.51191158e-01,1.54378071e-04,2.04050388e+00,9.82290320e+01,9.67158104e+01,8.87002135e-02,9.63882813e+01
2.71088509e+02,-6.04174551e+01,3.87880464e-04,7.51299490e-01,1.53626995e-04,2.04030682e+00,9.82138852e+01,9.66977685e+01,8.87727139e-02,9.63866572e+01
2.76088509e+02,-6.04143283e+01,3.88183695e-04,7.51407674e-01,1.52879676e-04,2.04011071e+00,9.81987099e+01,9.66797755e+01,8.88450630e-02,9.63850366e+01
2.81088509e+02,-6.04112066e+01,3.88486673e-04,7.51515709e-01,1.52136097e-04,2.03991557e+00,9.81835068e+01,9.66618304e+01,8.89172652e-02,9.63834193e+01
2.86088509e+02,-6.04080898e+01,3.88789413e-04,7.51623596e-01,1.51396237e-04,2.03972137e+00,9.81682766e+01,9.66439321e+01,8.89893245e-02,9.63818052e+01
2.91088509e+02,-6.04049777e+01,3.89091927e-04,7.51731334e-01,1.50660080e-04,2.03952812e+00,9.81530202e+01,9.66260793e+01,8.90612451e-02,9.63801942e+01
2.96088509e+02,-6.04018702e+01,3.89394228e-04,7.51838925e-01,1.49927606e-04,2.03933580e+00,9.81377381e+01,9.66082712e+01,8.91330308e-02,9.63785863e+01
3.01088509e+02,-6.03987671e+01,3.89696329e-04,7.51946369e-01,1.49198797e-04,2.03914443e+00,9.81224310e+01,9.65905065e+01,8.92046856e-02,9.63769813e+01
3.06088509e+02,-6.03956684e+01,3.89998243e-04,7.52053665e-01,1.48473635e-04,2.03895399e+00,9.81070998e+01,9.65727844e+01,8.92762132e-02,9.63753791e+01
3.11088509e+02,-6.03925739e+01,3.90299982e-04,7.52160814e-01,1.47752101e-04,2.03876447e+00,9.80917450e+01,9.65551038e+01,8.93476172e-02,9.63737798e+01
3.16088509e+02,-6.03894834e+01,3.90601556e-04,7.52267816e-01,1.47034178e-04,2.03857588e+00,9.80763672e+01,9.65374638e+01,8.94189012e-02,9.63721831e+01
3.21088509e+02,-6.03863968e+01,3.90902979e-04,7.52374671e-01,1.46319847e-04,2.03838821e+00,9.80609671e+01,9.65198634e+01,8.94900688e-02,9.63705891e+01
3.26088509e+02,-6.03833141e+01,3.91204260e-04,7.52481381e-01,1.45609091e-04,2.03820145e+00,9.80455453e+01,9.65023018e+01,8.95611232e-02,9.63689976e+01
3.31088509e+02,-6.03802350e+01,3.91505411e-04,7.52587944e-01,1.44901891e-04,2.03801561e+00,9.80301024e+01,9.64847780e+01,8.96320678e-02,9.63674086e+01
3.36088509e+02,-6.03771596e+01,3.91806444e-04,7.52694361e-01,1.44198230e-04,2.03783067e+00,9.80146390e+01,9.64672912e+01,8.97029059e-02,9.63658220e+01
3.41088509e+02,-6.03740875e+01,3.92107367e-04,7.52800633e-01,1.43498091e-04,2.03764663e+00,9.79991556e+01,9.64498405e+01,8.97736405e-02,9.63642377e+01
3.46088509e+02,-6.03710189e+01,3.92408193e-04,7.52906759e-01,1.42801455e-04,2.03746350e+00,9.79836529e+01,9.64324251e+01,8.98442748e-02,9.63626557e+01
3.51088509e+02,-6.03679535e+01,3.92708930e-04,7.53012740e-01,1.42108305e-04,2.03728125e+00,9.79681313e+01,9.64150443e+01,8.99148117e-02,9.63610759e+01
3.56088509e+02,-6.03648912e+01,3.93009588e-04,7.53118576e-01,1.41418624e-04,2.03709990e+00,9.79525913e+01,9.63976972e+01,8.99852542e-02,9.63594982e+01
3.61088509e+02,-6.03618319e+01,3.93310177e-04,7.53224267e-01,1.40732395e-04,2.03691943e+00,9.79370336e+01,9.63803831e+01,9.00556051e-02,9.63579225e+01
3.66088509e+02,-6.03587756e+01,3.93610707e-04,7.53329813e-01,1.40049600e-04,2.03673984e+00,9.79214585e+01,9.63631012e+01,9.01258671e-02,9.63563489e+01
3.71088509e+02,-6.03557221e+01,3.93911187e-04,7.53435216e-01,1.39370222e-04,2.03656113e+00,9.79058666e+01,9.63458509e+01,9.01960430e-02,9.63547772e+01
3.76088509e+02,-6.03526714e+01,3.94211625e-04,7.53540474e-01,1.38694244e-04,2.03638329e+00,9.78902583e+01,9.63286313e+01,9.02661354e-02,9.63532073e+01
3.81088509e+02,-6.03496233e+01,3.94512031e-04,7.53645588e-01,1.38021649e-04,2.03620632e+00,9.78746342e+01,9.63114419e+01,9.03361468e-02,9.63516393e+01
3.86088509e+02,-6.03465778e+01,3.94812412e-04,7.53750558e-01,1.37352421e-04,2.03603022e+00,9.78589946e+01,9.62942820e+01,9.04060799e-02,9.63500731e+01
3.91088509e+02,-6.03435347e+01,3.95112778e-04,7.53855385e-01,1.36686542e-04,2.03585497e+00,9.78433401e+01,9.62771509e+01,9.04759370e-02,9.63485085e+01
3.96088509e+02,-6.03404940e+01,3.95413136e-04,7.53960069e-01,1.36023995e-04,2.03568059e+00,9.78276710e+01,9.62600480e+01,9.05457205e-02,9.63469456e+01
